BehaviorSpace results (NetLogo 6.1.1),,,,,,,
PingModel.nlogo,,,,,,,
experiment,,,,,,,
03/03/2021 14:45:04:878 -0700,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,
-50,50,-50,50,,,,
[run number],surface-tension,sustain,dis,[step],mag,,
146,67,0.992,20,60,1.326015029,,
147,67,0.993,10,60,4.293259452,,
148,67,0.993,20,60,1.357881673,,
149,67,0.994,10,60,4.391689782,,
150,67,0.994,20,60,1.389400903,,
151,67,0.995,10,60,4.490525551,,
152,67,0.995,20,60,1.420504506,,
153,67,0.996,10,60,4.589712701,,
154,67,0.996,20,60,1.451121378,,
155,67,0.997,10,60,4.689195358,,
157,67,0.998,10,60,4.788915824,,
156,67,0.997,20,60,1.481177492,,
158,67,0.998,20,60,1.510595877,,
159,67,0.999,10,60,4.888814569,,
160,67,0.999,20,60,1.539296596,,
161,68,0.99,10,60,4.100877503,,
162,68,0.99,20,60,1.25404586,,
163,68,0.991,10,60,4.17493178,,
164,68,0.991,20,60,1.29313548,,
165,68,0.992,10,60,4.248671504,,
166,68,0.992,20,60,1.332492353,,
167,68,0.993,10,60,4.32203416,,
168,68,0.993,20,60,1.372071647,,
169,68,0.994,10,60,4.394955558,,
170,68,0.994,20,60,1.411825821,,
171,68,0.995,10,60,4.467369823,,
172,68,0.995,20,60,1.451704566,,
174,68,0.996,20,60,1.491654737,,
173,68,0.996,10,60,4.539209397,,
175,68,0.997,10,60,4.610405036,,
176,68,0.997,20,60,1.531620301,,
177,68,0.998,10,60,4.680885814,,
178,68,0.998,20,60,1.571542274,,
179,68,0.999,10,60,4.750579123,,
180,68,0.999,20,60,1.61135867,,
181,69,0.99,10,60,3.793203723,,
182,69,0.99,20,60,1.193306707,,
183,69,0.991,10,60,3.842113979,,
184,69,0.991,20,60,1.237878298,,
185,69,0.992,10,60,3.889993472,,
186,69,0.992,20,60,1.283219964,,
187,69,0.993,10,60,3.936770954,,
188,69,0.993,20,60,1.329308509,,
189,69,0.994,10,60,3.982373625,,
191,69,0.995,10,60,4.026727131,,
190,69,0.994,20,60,1.376118399,,
192,69,0.995,20,60,1.423621688,,
193,69,0.996,10,60,4.069755578,,
194,69,0.996,20,60,1.471787932,,
195,69,0.997,10,60,4.111381532,,
196,69,0.997,20,60,1.520584109,,
197,69,0.998,10,60,4.15152603,,
198,69,0.998,20,60,1.569974538,,
199,69,0.999,10,60,4.190108589,,
200,69,0.999,20,60,1.619920796,,
201,70,0.99,10,60,3.305730349,,
202,70,0.99,20,60,1.030499986,,
203,70,0.991,10,60,3.332096381,,
204,70,0.991,20,60,1.05551769,,
205,70,0.992,10,60,3.356900165,,
206,70,0.992,20,60,1.081015857,,
208,70,0.993,20,60,1.107000996,,
207,70,0.993,10,60,3.380065195,,
209,70,0.994,10,60,3.401513509,,
210,70,0.994,20,60,1.133479653,,
211,70,0.995,10,60,3.421165701,,
212,70,0.995,20,60,1.16045841,,
213,70,0.996,10,60,3.43894093,,
214,70,0.996,20,60,1.187943887,,
215,70,0.997,10,60,3.45475693,,
216,70,0.997,20,60,1.215942742,,
217,70,0.998,10,60,3.548386422,,
218,70,0.998,20,60,1.244461667,,
219,70,0.999,10,60,3.677561648,,
220,70,0.999,20,60,1.273507393,,
221,71,0.99,10,60,3.429016208,,
222,71,0.99,20,60,1.005760478,,
223,71,0.991,10,60,3.498425193,,
225,71,0.992,10,60,3.56844355,,
224,71,0.991,20,60,1.029472082,,
226,71,0.992,20,60,1.053621786,,
227,71,0.993,10,60,3.63905909,,
228,71,0.993,20,60,1.07821506,,
229,71,0.994,10,60,3.710259049,,
230,71,0.994,20,60,1.10325739,,
231,71,0.995,10,60,3.782030078,,
232,71,0.995,20,60,1.128754285,,
233,71,0.996,10,60,3.854358228,,
234,71,0.996,20,60,1.154711272,,
235,71,0.997,10,60,3.92722895,,
236,71,0.997,20,60,1.181133899,,
237,71,0.998,10,60,4.00062708,,
238,71,0.998,20,60,1.208027733,,
239,71,0.999,10,60,4.113804457,,
240,71,0.999,20,60,1.235398361,,
242,72,0.99,20,60,0.978079432,,
241,72,0.99,10,60,3.418869263,,
243,72,0.991,10,60,3.471122226,,
244,72,0.991,20,60,1.000862577,,
245,72,0.992,10,60,3.523442055,,
246,72,0.992,20,60,1.024060478,,
247,72,0.993,10,60,3.575807587,,
248,72,0.993,20,60,1.047678162,,
249,72,0.994,10,60,3.682638671,,
250,72,0.994,20,60,1.071720674,,
251,72,0.995,10,60,3.796127478,,
252,72,0.995,20,60,1.096193076,,
253,72,0.996,10,60,3.911442619,,
254,72,0.996,20,60,1.121100447,,
255,72,0.997,10,60,4.028571023,,
256,72,0.997,20,60,1.146447885,,
257,72,0.998,10,60,4.147497887,,
259,72,0.999,10,60,4.268206633,,
258,72,0.998,20,60,1.172240502,,
260,72,0.999,20,60,1.198483434,,
261,73,0.99,10,60,3.25787812,,
262,73,0.99,20,60,0.956547374,,
263,73,0.991,10,60,3.360805649,,
264,73,0.991,20,60,0.978976715,,
265,73,0.992,10,60,3.465502957,,
266,73,0.992,20,60,1.001820568,,
267,73,0.993,10,60,3.571962404,,
268,73,0.993,20,60,1.025084211,,
269,73,0.994,10,60,3.680174797,,
270,73,0.994,20,60,1.04877295,,
271,73,0.995,10,60,3.790129343,,
272,73,0.995,20,60,1.072892122,,
273,73,0.996,10,60,3.901813604,,
274,73,0.996,20,60,1.097447097,,
276,73,0.997,20,60,1.122443276,,
275,73,0.997,10,60,4.015213444,,
277,73,0.998,10,60,4.130312983,,
278,73,0.998,20,60,1.147886097,,
279,73,0.999,10,60,4.247094547,,
280,73,0.999,20,60,1.173781031,,
281,74,0.99,10,60,3.178464792,,
282,74,0.99,20,60,0.945132461,,
283,74,0.991,10,60,3.263685125,,
284,74,0.991,20,60,0.967865391,,
285,74,0.992,10,60,3.349822885,,
286,74,0.992,20,60,0.991037922,,
287,74,0.993,10,60,3.447082236,,
288,74,0.993,20,60,1.014656345,,
289,74,0.994,10,60,3.553345884,,
290,74,0.994,20,60,1.038727015,,
291,74,0.995,10,60,3.661422358,,
293,74,0.996,10,60,3.771303799,,
292,74,0.995,20,60,1.063256352,,
294,74,0.996,20,60,1.088250842,,
295,74,0.997,10,60,3.882980737,,
296,74,0.997,20,60,1.113717042,,
297,74,0.998,10,60,3.99644204,,
298,74,0.998,20,60,1.13966158,,
299,74,0.999,10,60,4.11167486,,
300,74,0.999,20,60,1.166091156,,
301,75,0.99,10,60,3.118310303,,
302,75,0.99,20,60,0.94284703,,
303,75,0.991,10,60,3.218019967,,
304,75,0.991,20,60,0.966509913,,
305,75,0.992,10,60,3.319413007,,
306,75,0.992,20,60,0.990663031,,
307,75,0.993,10,60,3.422477626,,
308,75,0.993,20,60,1.015314518,,
310,75,0.994,20,60,1.040472631,,
309,75,0.994,10,60,3.527200368,,
311,75,0.995,10,60,3.633566068,,
312,75,0.995,20,60,1.066145747,,
313,75,0.996,10,60,3.741557819,,
314,75,0.996,20,60,1.092342372,,
315,75,0.997,10,60,3.851156923,,
316,75,0.997,20,60,1.119071141,,
317,75,0.998,10,60,3.962342849,,
318,75,0.998,20,60,1.146340823,,
319,75,0.999,10,60,4.0750932,,
320,75,0.999,20,60,1.174160329,,
321,76,0.99,10,60,3.141519657,,
322,76,0.99,20,60,0.943669302,,
323,76,0.991,10,60,3.207822679,,
324,76,0.991,20,60,0.968727791,,
325,76,0.992,10,60,3.274934071,,
327,76,0.993,10,60,3.342850869,,
326,76,0.992,20,60,0.994350101,,
328,76,0.993,20,60,1.02054706,,
329,76,0.994,10,60,3.411569696,,
330,76,0.994,20,60,1.047329694,,
331,76,0.995,10,60,3.481086763,,
332,76,0.995,20,60,1.07470924,,
333,76,0.996,10,60,3.551397852,,
334,76,0.996,20,60,1.10269715,,
335,76,0.997,10,60,3.622498311,,
336,76,0.997,20,60,1.131305094,,
337,76,0.998,10,60,3.694383043,,
338,76,0.998,20,60,1.160544971,,
339,76,0.999,10,60,3.814605714,,
340,76,0.999,20,60,1.190428914,,
341,77,0.99,10,60,3.370440687,,
342,77,0.99,20,60,0.936243545,,
344,77,0.991,20,60,0.962840774,,
343,77,0.991,10,60,3.445754339,,
345,77,0.992,10,60,3.521440061,,
346,77,0.992,20,60,0.990091458,,
347,77,0.993,10,60,3.597448249,,
348,77,0.993,20,60,1.018009877,,
349,77,0.994,10,60,3.673727022,,
350,77,0.994,20,60,1.046610623,,
351,77,0.995,10,60,3.750222173,,
352,77,0.995,20,60,1.075908613,,
353,77,0.996,10,60,3.826877135,,
354,77,0.996,20,60,1.105919092,,
355,77,0.997,10,60,3.903632935,,
356,77,0.997,20,60,1.136657649,,
357,77,0.998,10,60,3.980428158,,
358,77,0.998,20,60,1.168140226,,
359,77,0.999,10,60,4.057198903,,
361,78,0.99,10,60,3.39380059,,
360,77,0.999,20,60,1.200383126,,
362,78,0.99,20,60,0.903691578,,
363,78,0.991,10,60,3.501537804,,
364,78,0.991,20,60,0.931446374,,
