"BehaviorSpace results (NetLogo 6.1.1)"
"PingModel.nlogo"
"experiment"
"03/03/2021 14:38:27:958 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"surface-tension","80","80","81","81","82","82","83","83","84","84","85","85","86","86","87","87","88","88","89","89","90","90","91","91","92","92","93","93","94","94","95","95","96","96","97","97","98","98","99","99"
"sustain","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99","0.99"
"dis","10","20","10","20","10","20","10","20","10","20","10","20","10","20","10","20","10","20","10","20","10","20","10","20","10","20","10","20","10","20","10","20","10","20","10","20","10","20","10","20"
"[steps]","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"

"[initial & final values]","mag","mag","mag","mag","mag","mag","mag","mag","mag","mag","mag","mag","mag","mag","mag","mag","mag","mag","mag","mag","mag","mag","mag","mag","mag","mag","mag","mag","mag","mag","mag","mag","mag","mag","mag","mag","mag","mag","mag","mag"
,"3.358102532633945","1.6619822534798725","3.4648835970532006","1.429618561740749","3.3311232060935603","1.3372489858254175","3.2637548619733465","0.8575393681803555","3.29758115831407","0.8447532044768437","3.16848965583839","0.813254021283553","3.117281984360879","0.8261508323605359","2.9502537955866077","0.7975741136253685","2.957424283875042","0.7862115982133229","2.6392968052441756","0.7786542289895968","2.6464371656945778","0.7609308092642909","2.491746584133438","0.7325925935860819","2.4879908383555267","0.7176232917924669","1.9210967041822384","0.6755200344143507","1.8297897518924002","0.6349731178883582","1.717305968058986","0.6058339114812455","1.6055381476230277","0.51541466035408","1.3455799063073017","0.0658304073161443","1.2425673868389182","4.837967011004967E-4","0.9977588072408013","9.760959304780289E-9"
